number,val_loss,n_params,datetime_start,datetime_complete,duration,params_film_mlp_layers,params_film_mlp_neurons,params_hidden_channels,params_n_layers,params_n_modes,user_attrs_best_val_loss,user_attrs_n_params,user_attrs_n_params_M,system_attrs_NSGAIISampler:generation,state,params_M
50,0.5932035140991211,374499.0,2026-03-21 09:33:02.353331,2026-03-21 09:47:08.311693,0 days 00:14:05.958362,6,64,32,4,8,0.5932035140991211,374499,0.37,1,COMPLETE,0.374499
51,0.4762872085571289,1494467.0,2026-03-21 09:47:08.311693,2026-03-21 10:13:46.444082,0 days 00:26:38.132389,6,128,64,4,8,0.4762872085571289,1494467,1.49,1,COMPLETE,1.494467
52,0.34710508704185483,7173443.0,2026-03-21 10:13:46.444082,2026-03-21 10:52:40.735302,0 days 00:38:54.291220,4,32,64,6,16,0.34710508704185483,7173443,7.17,1,COMPLETE,7.173443
53,0.3555577092170715,4803267.0,2026-03-21 10:52:40.735302,2026-03-21 11:19:58.147886,0 days 00:27:17.412584,2,64,64,4,16,0.3555577092170715,4803267,4.8,1,COMPLETE,4.803267
54,0.31903161668777463,26832131.0,2026-03-21 11:19:58.147886,2026-03-21 12:03:41.686187,0 days 00:43:43.538301,2,32,64,6,32,0.31903161668777463,26832131,26.83,1,COMPLETE,26.832131
55,0.37121705627441404,26836355.0,2026-03-21 12:03:41.688246,2026-03-21 12:45:19.762161,0 days 00:41:38.073915,6,32,64,6,32,0.37121705627441404,26836355,26.84,1,COMPLETE,26.836355
56,0.4893463616371155,1734179.0,2026-03-21 12:45:19.762161,2026-03-21 12:56:37.296505,0 days 00:11:17.534344,4,128,16,6,32,0.4893463616371155,1734179,1.73,1,COMPLETE,1.734179
57,0.4897735605239868,984227.0,2026-03-21 12:56:37.297506,2026-03-21 13:07:42.323601,0 days 00:11:05.026095,4,64,16,6,24,0.4897735605239868,984227,0.98,1,COMPLETE,0.984227
58,0.5372320528030395,969635.0,2026-03-21 13:07:42.323601,2026-03-21 13:18:40.515974,0 days 00:10:58.192373,2,32,16,6,24,0.5372320528030395,969635,0.97,1,COMPLETE,0.969635
59,0.3378478617668152,15536003.0,2026-03-21 13:18:40.516975,2026-03-21 13:59:30.399814,0 days 00:40:49.882839,4,128,64,6,24,0.3378478617668152,15536003,15.54,1,COMPLETE,15.536003
